"strain"	"replicate"	"age.at.death"	"rupture"
"1"	"N2"	1	10	0
"2"	"N2"	1	10	0
"3"	"N2"	1	19	0
"4"	"N2"	1	19	0
"5"	"N2"	1	21	0
"6"	"N2"	1	21	0
"7"	"N2"	1	24	0
"8"	"N2"	1	24	0
"9"	"N2"	1	24	0
"10"	"N2"	1	24	0
"11"	"N2"	1	24	0
"12"	"N2"	1	24	0
"13"	"N2"	1	24	0
"14"	"N2"	1	24	0
"15"	"N2"	1	26	0
"16"	"N2"	1	26	0
"17"	"N2"	1	26	0
"18"	"N2"	1	26	0
"19"	"N2"	1	26	0
"20"	"N2"	1	26	0
"21"	"N2"	1	29	0
"22"	"N2"	1	29	0
"23"	"N2"	1	29	0
"24"	"N2"	1	29	0
"25"	"N2"	1	29	0
"26"	"N2"	1	33	0
"27"	"N2"	1	35	0
"28"	"N2"	1	21	1
"29"	"N2"	1	24	1
"30"	"N2"	1	26	1
"31"	"N2"	1	26	1
"32"	"N2"	1	17	2
"33"	"N2"	1	19	2
"34"	"N2"	1	19	3
"35"	"N2"	2	17	0
"36"	"N2"	2	19	0
"37"	"N2"	2	19	0
"38"	"N2"	2	19	0
"39"	"N2"	2	19	0
"40"	"N2"	2	19	0
"41"	"N2"	2	19	0
"42"	"N2"	2	21	0
"43"	"N2"	2	21	0
"44"	"N2"	2	21	0
"45"	"N2"	2	24	0
"46"	"N2"	2	24	0
"47"	"N2"	2	24	0
"48"	"N2"	2	24	0
"49"	"N2"	2	24	0
"50"	"N2"	2	24	0
"51"	"N2"	2	26	0
"52"	"N2"	2	26	0
"53"	"N2"	2	26	0
"54"	"N2"	2	26	0
"55"	"N2"	2	26	0
"56"	"N2"	2	26	0
"57"	"N2"	2	26	0
"58"	"N2"	2	26	0
"59"	"N2"	2	29	0
"60"	"N2"	2	29	0
"61"	"N2"	2	29	0
"62"	"N2"	2	29	0
"63"	"N2"	2	29	0
"64"	"N2"	2	31	0
"65"	"N2"	2	19	1
"66"	"N2"	2	19	1
"67"	"N2"	2	21	1
"68"	"N2"	2	17	2
"69"	"hif-1"	1	17	0
"70"	"hif-1"	1	17	0
"71"	"hif-1"	1	19	0
"72"	"hif-1"	1	21	0
"73"	"hif-1"	1	21	0
"74"	"hif-1"	1	24	0
"75"	"hif-1"	1	24	0
"76"	"hif-1"	1	24	0
"77"	"hif-1"	1	24	0
"78"	"hif-1"	1	24	0
"79"	"hif-1"	1	24	0
"80"	"hif-1"	1	24	0
"81"	"hif-1"	1	26	0
"82"	"hif-1"	1	26	0
"83"	"hif-1"	1	26	0
"84"	"hif-1"	1	19	1
"85"	"hif-1"	1	19	1
"86"	"hif-1"	1	21	1
"87"	"hif-1"	1	24	1
"88"	"hif-1"	1	24	1
"89"	"hif-1"	1	19	2
"90"	"hif-1"	1	19	2
"91"	"hif-1"	1	19	2
"92"	"hif-1"	1	21	2
"93"	"hif-1"	1	21	2
"94"	"hif-1"	1	21	2
"95"	"hif-1"	1	24	2
"96"	"hif-1"	1	24	2
"97"	"hif-1"	1	24	2
"98"	"hif-1"	1	24	2
"99"	"hif-1"	1	24	2
"100"	"hif-1"	1	12	3
"101"	"hif-1"	1	14	3
"102"	"hif-1"	1	17	3
"103"	"hif-1"	1	21	3
"104"	"hif-1"	1	24	3
"105"	"hif-1"	1	24	3
"106"	"hif-1"	2	14	0
"107"	"hif-1"	2	14	0
"108"	"hif-1"	2	19	0
"109"	"hif-1"	2	21	0
"110"	"hif-1"	2	21	0
"111"	"hif-1"	2	21	0
"112"	"hif-1"	2	21	0
"113"	"hif-1"	2	21	0
"114"	"hif-1"	2	24	0
"115"	"hif-1"	2	24	0
"116"	"hif-1"	2	24	0
"117"	"hif-1"	2	24	0
"118"	"hif-1"	2	24	0
"119"	"hif-1"	2	24	0
"120"	"hif-1"	2	24	0
"121"	"hif-1"	2	24	0
"122"	"hif-1"	2	24	0
"123"	"hif-1"	2	26	0
"124"	"hif-1"	2	26	0
"125"	"hif-1"	2	29	0
"126"	"hif-1"	2	29	0
"127"	"hif-1"	2	31	0
"128"	"hif-1"	2	19	1
"129"	"hif-1"	2	19	1
"130"	"hif-1"	2	21	1
"131"	"hif-1"	2	21	1
"132"	"hif-1"	2	21	1
"133"	"hif-1"	2	24	1
"134"	"hif-1"	2	14	2
"135"	"hif-1"	2	17	2
"136"	"hif-1"	2	24	2
"137"	"hif-1"	2	24	2
"138"	"hif-1"	2	24	2
"139"	"hif-1"	2	17	3
"140"	"hif-1"	2	17	3
"141"	"hif-1"	2	19	3
"142"	"hif-1"	2	19	3
"143"	"hif-1"	2	19	3
"144"	"hif-1"	2	19	3
"145"	"hif-1"	2	19	3
"146"	"hif-1"	2	19	3
"147"	"hif-1"	2	24	3
"148"	"vhl-1"	1	24	0
"149"	"vhl-1"	1	24	0
