strain	replicate	age.at.death	rupture	
1	N2.Normoxia	1	25	0
2	N2.Normoxia	1	25	0
3	N2.Normoxia	1	29	0
4	N2.Normoxia	1	29	0
5	N2.Normoxia	1	32	0
6	N2.Normoxia	1	32	0
7	N2.Normoxia	1	32	0
8	N2.Normoxia	1	32	0
9	N2.Normoxia	1	34	0
10	N2.Normoxia	1	25	2
11	N2.Normoxia	1	25	2
12	N2.Normoxia	1	27	2
13	N2.Normoxia	1	27	2
14	N2.Normoxia	1	27	2
15	N2.Normoxia	1	29	2
16	N2.Normoxia	1	29	2
17	N2.Normoxia	1	29	2
18	N2.Normoxia	1	29	2
19	N2.Normoxia	1	32	2
20	N2.Normoxia	1	32	2
21	N2.Normoxia	1	32	2
22	N2.Normoxia	1	32	2
23	N2.Normoxia	1	32	2
24	N2.Normoxia	1	32	2
25	N2.Normoxia	1	32	2
26	N2.Normoxia	1	32	2
27	N2.Normoxia	1	32	2
28	N2.Normoxia	1	32	2
29	N2.Normoxia	1	32	2
30	N2.Normoxia	1	32	2
31	N2.Normoxia	1	32	2
32	N2.Normoxia	1	32	2
33	N2.Normoxia	1	32	2
34	N2.Normoxia	1	32	2
35	N2.Normoxia	1	32	2
36	N2.Normoxia	1	32	2
37	N2.Normoxia	1	32	2
38	N2.Normoxia	1	32	2
39	N2.Normoxia	1	34	2
40	N2.Normoxia	1	34	2
41	N2.Normoxia	1	34	2
42	N2.Normoxia	1	34	2
43	N2.Normoxia	1	34	2
44	N2.Normoxia	1	34	2
45	N2.Normoxia	1	34	2
46	N2.Normoxia	1	34	2
47	N2.Normoxia	1	34	2
48	N2.Normoxia	1	34	2
49	N2.Normoxia	1	34	2
50	N2.Normoxia	1	34	2
51	N2.Normoxia	1	34	2
52	N2.Normoxia	1	34	2
53	N2.Normoxia	1	34	2
54	N2.Normoxia	1	34	2
55	N2.Normoxia	1	34	2
56	N2.Normoxia	1	34	2
57	N2.Normoxia	1	36	2
58	N2.Normoxia	1	36	2
59	N2.Normoxia	1	36	2
60	N2.Normoxia	1	36	2
61	N2.Normoxia	1	36	2
62	N2.Normoxia	1	39	2
63	N2.Normoxia	1	29	3
64	N2.Normoxia	1	29	3
65	N2.Normoxia	1	32	3
66	N2.Normoxia	1	32	3
67	N2.Normoxia	1	34	3
68	N2.Normoxia	1	34	3
69	N2.Normoxia	1	34	3
70	N2.Normoxia	1	36	3
71	N2.Normoxia	1	36	3
72	N2.Normoxia	2	20	0
73	N2.Normoxia	2	22	0
74	N2.Normoxia	2	27	0
75	N2.Normoxia	2	27	0
76	N2.Normoxia	2	29	0
77	N2.Normoxia	2	29	0
78	N2.Normoxia	2	29	0
79	N2.Normoxia	2	32	0
80	N2.Normoxia	2	32	0
81	N2.Normoxia	2	32	0
82	N2.Normoxia	2	39	0
83	N2.Normoxia	2	25	2
84	N2.Normoxia	2	27	2
85	N2.Normoxia	2	29	2
86	N2.Normoxia	2	29	2
87	N2.Normoxia	2	29	2
88	N2.Normoxia	2	32	2
89	N2.Normoxia	2	32	2
90	N2.Normoxia	2	32	2
91	N2.Normoxia	2	32	2
92	N2.Normoxia	2	32	2
93	N2.Normoxia	2	32	2
94	N2.Normoxia	2	32	2
95	N2.Normoxia	2	32	2
96	N2.Normoxia	2	32	2
97	N2.Normoxia	2	32	2
98	N2.Normoxia	2	32	2
99	N2.Normoxia	2	32	2
100	N2.Normoxia	2	32	2
101	N2.Normoxia	2	32	2
102	N2.Normoxia	2	34	2
103	N2.Normoxia	2	34	2
104	N2.Normoxia	2	34	2
105	N2.Normoxia	2	34	2
106	N2.Normoxia	2	34	2
107	N2.Normoxia	2	34	2
108	N2.Normoxia	2	34	2
109	N2.Normoxia	2	34	2
110	N2.Normoxia	2	34	2
111	N2.Normoxia	2	34	2
112	N2.Normoxia	2	34	2
113	N2.Normoxia	2	34	2
114	N2.Normoxia	2	34	2
115	N2.Normoxia	2	34	2
116	N2.Normoxia	2	34	2
117	N2.Normoxia	2	34	2
118	N2.Normoxia	2	36	2
119	N2.Normoxia	2	36	2
120	N2.Normoxia	2	25	3
121	N2.Normoxia	2	25	3
122	N2.Normoxia	2	32	3
123	N2.Normoxia	2	32	3
124	N2.Normoxia	2	34	3
125	N2.Normoxia	2	34	3
126	N2.Normoxia	2	36	3
127	N2.Normoxia	2	36	3
128	N2.Normoxia	2	36	3
129	N2.Normoxia	2	36	3
130	N2.Normoxia	2	36	3
131	N2.Normoxia	2	36	3
132	N2.Normoxia	2	36	3
133	N2.Normoxia	2	36	3
134	N2.Normoxia	2	36	3
135	N2.Normoxia	2	36	3
136	N2.Hypoxia	1	18	0
137	N2.Hypoxia	1	25	0
138	N2.Hypoxia	1	29	0
139	N2.Hypoxia	1	32	0
140	N2.Hypoxia	1	32	0
141	N2.Hypoxia	1	32	0
142	N2.Hypoxia	1	32	0
143	N2.Hypoxia	1	32	0
144	N2.Hypoxia	1	32	0
145	N2.Hypoxia	1	32	0
146	N2.Hypoxia	1	32	0
147	N2.Hypoxia	1	32	0
148	N2.Hypoxia	1	32	0
149	N2.Hypoxia	1	32	0
150	N2.Hypoxia	1	32	0
151	N2.Hypoxia	1	32	0
152	N2.Hypoxia	1	32	0
153	N2.Hypoxia	1	32	0
154	N2.Hypoxia	1	34	0
155	N2.Hypoxia	1	36	0
156	N2.Hypoxia	1	39	0
157	N2.Hypoxia	1	39	0
158	N2.Hypoxia	1	41	0
159	N2.Hypoxia	1	41	0
160	N2.Hypoxia	1	32	1
161	N2.Hypoxia	1	32	1
162	N2.Hypoxia	1	32	1
163	N2.Hypoxia	1	32	1
164	N2.Hypoxia	1	32	2
165	N2.Hypoxia	1	32	2
166	N2.Hypoxia	1	32	2
167	N2.Hypoxia	1	32	2
168	N2.Hypoxia	1	34	2
169	N2.Hypoxia	1	34	2
170	N2.Hypoxia	1	34	2
171	N2.Hypoxia	1	34	2
172	N2.Hypoxia	1	34	2
173	N2.Hypoxia	1	34	2
174	N2.Hypoxia	1	34	2
175	N2.Hypoxia	1	34	2
176	N2.Hypoxia	1	34	2
177	N2.Hypoxia	1	36	2
178	N2.Hypoxia	1	36	2
179	N2.Hypoxia	1	36	2
180	N2.Hypoxia	1	36	2
181	N2.Hypoxia	1	36	2
182	N2.Hypoxia	1	36	2
183	N2.Hypoxia	1	36	2
184	N2.Hypoxia	1	36	2
185	N2.Hypoxia	1	36	2
186	N2.Hypoxia	1	36	2
187	N2.Hypoxia	1	36	2
188	N2.Hypoxia	1	39	2
189	N2.Hypoxia	1	39	2
190	N2.Hypoxia	1	39	2
191	N2.Hypoxia	1	39	2
192	N2.Hypoxia	1	39	2
193	N2.Hypoxia	1	39	2
