strain	replicate	age.at.death	rupture			
228	N2	2	24	2		
229	N2	2	26	2		
230	N2	2	26	2		
231	N2	2	26	2		
232	N2	2	26	2		
233	N2	2	26	2		
234	N2	2	26	2		
235	N2	2	26	3		
236	N2	2	26	3		
237	N2	2	26	3		
238	N2	2	28	3		
239	N2	2	28	3		
240	N2	2	28	3		
241	N2	2	28	3		
242	N2	2	28	3		
243	N2	2	28	3		
244	N2	2	28	3		
245	N2	2	28	3		
246	N2	2	28	3		
247	N2	2	28	3		
248	N2	2	28	3		
249	N2	2	28	3		
250	N2	2	31	3		
251	N2	3	33	0		
252	N2	3	21	0		
253	N2	3	21	0		
254	N2	3	24	0		
255	N2	3	24	0		
256	N2	3	24	0		
257	N2	3	24	0		
258	N2	3	24	0		
259	N2	3	24	0		
260	N2	3	24	0		
261	N2	3	24	0		
262	N2	3	24	0		
263	N2	3	26	0		
264	N2	3	26	0		
265	N2	3	26	0		
266	N2	3	26	0		
267	N2	3	26	0		
268	N2	3	26	0		
269	N2	3	26	2		
270	N2	3	26	2		
271	N2	3	26	2		
272	N2	3	26	2		
273	N2	3	26	2		
274	N2	3	26	2		
275	N2	3	26	2		
276	N2	3	28	2		
277	N2	3	28	2		
278	N2	3	28	3		
279	N2	3	28	3		
280	N2	3	28	3		
281	N2	3	28	3		
282	N2	3	28	3		
