"strain"	"replicate"	"age.at.death"	"rupture"
"1"	"N2"	1	24	0
"2"	"N2"	1	27	0
"3"	"N2"	1	29	0
"4"	"N2"	1	34	0
"5"	"N2"	1	34	0
"6"	"N2"	1	36	0
"7"	"N2"	1	38	0
"8"	"N2"	1	41	0
"9"	"N2"	1	41	0
"10"	"N2"	1	43	0
"11"	"N2"	1	45	0
"12"	"N2"	1	45	0
"13"	"N2"	1	20	1
"14"	"N2"	1	20	2
"15"	"N2"	1	22	2
"16"	"N2"	1	24	2
"17"	"N2"	1	24	2
"18"	"N2"	1	27	2
"19"	"N2"	1	27	2
"20"	"N2"	1	27	2
"21"	"N2"	1	29	2
"22"	"N2"	1	29	2
"23"	"N2"	1	29	2
"24"	"N2"	1	31	2
"25"	"N2"	1	31	2
"26"	"N2"	1	31	2
"27"	"N2"	1	34	2
"28"	"N2"	1	36	2
"29"	"N2"	1	38	2
"30"	"N2"	1	38	2
"31"	"N2"	1	38	2
"32"	"N2"	1	41	2
"33"	"N2"	1	24	3
"34"	"N2"	1	34	3
"35"	"sir2.1"	1	13	0
"36"	"sir2.1"	1	17	0
"37"	"sir2.1"	1	29	0
"38"	"sir2.1"	1	31	0
"39"	"sir2.1"	1	34	0
"40"	"sir2.1"	1	36	0
"41"	"sir2.1"	1	36	0
"42"	"sir2.1"	1	36	0
"43"	"sir2.1"	1	41	0
"44"	"sir2.1"	1	41	0
"45"	"sir2.1"	1	41	0
"46"	"sir2.1"	1	41	0
"47"	"sir2.1"	1	43	0
"48"	"sir2.1"	1	45	0
"49"	"sir2.1"	1	45	0
"50"	"sir2.1"	1	45	0
"51"	"sir2.1"	1	48	0
"52"	"sir2.1"	1	48	0
"53"	"sir2.1"	1	48	0
"54"	"sir2.1"	1	48	0
"55"	"sir2.1"	1	50	0
"56"	"sir2.1"	1	50	0
"57"	"sir2.1"	1	55	0
"58"	"sir2.1"	1	55	0
"59"	"sir2.1"	1	20	1
"60"	"sir2.1"	1	34	1
"61"	"sir2.1"	1	20	2
"62"	"sir2.1"	1	20	2
"63"	"sir2.1"	1	34	2
"64"	"sir2.1"	1	27	3
"65"	"sir2.1"	1	34	3
