strain	replicate	age.at.death	rupture	
1	N2	1	33	0
2	N2	1	39	0
3	N2	1	41	0
4	N2	1	18	2
5	N2	1	18	2
6	N2	1	20	2
7	N2	1	20	2
8	N2	1	25	2
9	N2	1	28	2
10	N2	1	28	2
11	N2	1	22	3
12	N2	1	22	3
13	N2	1	22	3
14	N2	1	25	3
15	N2	1	25	3
16	N2	1	25	3
17	N2	1	25	3
18	N2	1	25	3
19	N2	1	25	3
20	N2	1	25	3
21	N2	1	25	3
22	N2	1	25	3
23	N2	1	25	3
24	N2	1	25	3
25	N2	1	25	3
26	N2	1	25	3
27	N2	1	25	3
28	N2	1	25	3
29	N2	1	25	3
30	N2	1	28	3
31	N2	1	28	3
32	N2	1	28	3
33	N2	1	28	3
34	N2	1	28	3
35	N2	1	28	3
36	N2	1	28	3
37	N2	1	28	3
38	N2	1	28	3
39	N2	1	28	3
40	N2	1	28	3
41	N2	1	28	3
42	N2	1	28	3
43	N2	1	28	3
44	N2	1	28	3
45	N2	1	28	3
46	N2	1	28	3
47	N2	1	28	3
48	N2	1	28	3
49	N2	1	28	3
50	N2	1	28	3
51	N2	1	28	3
52	N2	1	28	3
53	N2	1	31	3
54	N2	1	31	3
55	N2	1	31	3
56	N2	1	31	3
57	N2	1	31	3
58	N2	1	31	3
59	N2	1	31	3
60	N2	1	31	3
61	N2	1	31	3
62	N2	1	31	3
63	N2	1	31	3
64	N2	1	31	3
65	N2	1	31	3
66	N2	1	33	3
67	N2	1	33	3
68	N2	2	20	0
69	N2	2	20	0
70	N2	2	31	0
71	N2	2	36	0
72	N2	2	39	0
73	N2	2	15	1
74	N2	2	25	2
75	N2	2	28	2
76	N2	2	28	2
77	N2	2	28	2
78	N2	2	28	2
79	N2	2	31	2
80	N2	2	33	2
81	N2	2	20	3
82	N2	2	20	3
83	N2	2	22	3
84	N2	2	25	3
85	N2	2	25	3
86	N2	2	25	3
87	N2	2	25	3
88	N2	2	25	3
89	N2	2	25	3
90	N2	2	25	3
91	N2	2	25	3
92	N2	2	25	3
93	N2	2	25	3
94	N2	2	25	3
95	N2	2	25	3
96	N2	2	25	3
97	N2	2	25	3
98	N2	2	28	3
99	N2	2	28	3
100	N2	2	28	3
101	N2	2	28	3
102	N2	2	28	3
103	N2	2	28	3
104	N2	2	28	3
105	N2	2	28	3
106	N2	2	28	3
107	N2	2	28	3
108	N2	2	28	3
109	N2	2	28	3
110	N2	2	28	3
111	N2	2	28	3
112	N2	2	28	3
113	N2	2	28	3
114	N2	2	31	3
115	N2	2	31	3
116	N2	2	31	3
117	N2	2	31	3
118	N2	2	31	3
119	N2	2	31	3
120	N2	2	31	3
121	N2	2	31	3
122	N2	2	31	3
123	N2	2	31	3
124	N2	2	31	3
125	N2	2	31	3
126	N2	2	31	3
127	N2	2	31	3
128	N2	2	31	3
129	N2	2	31	3
130	N2	2	31	3
131	N2	2	33	3
132	N2	3	20	0
133	N2	3	20	0
134	N2	3	20	0
135	N2	3	20	0
136	N2	3	28	0
137	N2	3	33	0
138	N2	3	25	2
139	N2	3	25	2
140	N2	3	25	2
141	N2	3	28	2
142	N2	3	28	2
143	N2	3	28	2
144	N2	3	28	2
145	N2	3	33	2
146	N2	3	33	2
147	N2	3	33	2
148	N2	3	36	2
149	N2	3	20	3
150	N2	3	22	3
151	N2	3	22	3
152	N2	3	22	3
153	N2	3	22	3
154	N2	3	22	3
155	N2	3	25	3
156	N2	3	25	3
157	N2	3	25	3
158	N2	3	25	3
159	N2	3	25	3
160	N2	3	25	3
161	N2	3	25	3
162	N2	3	25	3
163	N2	3	25	3
164	N2	3	25	3
165	N2	3	25	3
166	N2	3	25	3
167	N2	3	25	3
168	N2	3	25	3
169	N2	3	28	3
170	N2	3	28	3
171	N2	3	28	3
172	N2	3	28	3
173	N2	3	28	3
174	N2	3	28	3
175	N2	3	28	3
176	N2	3	28	3
177	N2	3	28	3
178	N2	3	28	3
179	N2	3	28	3
180	N2	3	28	3
181	N2	3	28	3
182	N2	3	28	3
183	N2	3	28	3
184	N2	3	28	3
185	N2	3	28	3
186	N2	3	28	3
187	N2	3	28	3
188	N2	3	28	3
189	N2	3	31	3
190	N2	3	31	3
191	N2	3	31	3
192	N2	3	31	3
193	N2	3	31	3
194	N2	3	31	3
195	N2	3	31	3
196	N2	3	31	3
197	N2	3	31	3
198	N2	3	31	3
199	N2	3	31	3
200	N2	3	31	3
201	N2	3	31	3
202	N2	3	31	3
203	N2	3	31	3
204	N2	3	31	3
205	N2	3	33	3
206	N2	3	36	3
207	vhl-1	1	20	0
208	vhl-1	1	25	0
209	vhl-1	1	28	0
210	vhl-1	1	28	0
211	vhl-1	1	31	0
212	vhl-1	1	33	0
213	vhl-1	1	33	0
214	vhl-1	1	36	0
215	vhl-1	1	36	0
216	vhl-1	1	36	0
217	vhl-1	1	36	0
218	vhl-1	1	36	0
219	vhl-1	1	39	0
220	vhl-1	1	39	0
221	vhl-1	1	39	0
222	vhl-1	1	39	0
223	vhl-1	1	39	0
224	vhl-1	1	39	0
225	vhl-1	1	39	0
226	vhl-1	1	39	0
227	vhl-1	1	39	0
228	vhl-1	1	39	0
229	vhl-1	1	41	0
230	vhl-1	1	41	0
231	vhl-1	1	41	0
232	vhl-1	1	41	0
233	vhl-1	1	41	0
234	vhl-1	1	41	0
235	vhl-1	1	41	0
236	vhl-1	1	43	0
237	vhl-1	1	43	0
238	vhl-1	1	43	0
239	vhl-1	1	43	0
240	vhl-1	1	43	0
241	vhl-1	1	43	0
242	vhl-1	1	43	0
243	vhl-1	1	43	0
244	vhl-1	1	43	0
245	vhl-1	1	46	0
246	vhl-1	1	46	0
247	vhl-1	1	46	0
248	vhl-1	1	46	0
249	vhl-1	1	46	0
250	vhl-1	1	46	0
251	vhl-1	1	49	0
252	vhl-1	1	49	0
253	vhl-1	1	49	0
254	vhl-1	1	49	0
255	vhl-1	1	53	0
256	vhl-1	1	57	0
257	vhl-1	1	33	2
258	vhl-1	1	33	2
259	vhl-1	1	33	2
260	vhl-1	1	33	2
261	vhl-1	1	36	2
262	vhl-1	1	36	2
263	vhl-1	1	36	2
264	vhl-1	1	39	2
265	vhl-1	1	41	2
266	vhl-1	1	41	2
267	vhl-1	1	41	2
268	vhl-1	1	41	2
269	vhl-1	1	31	3
270	vhl-1	1	31	3
271	vhl-1	1	33	3
272	vhl-1	1	33	3
273	vhl-1	1	36	3
274	vhl-1	1	36	3
275	vhl-1	1	36	3
276	vhl-1	1	36	3
277	vhl-1	1	36	3
278	vhl-1	2	20	0
279	vhl-1	2	22	0
280	vhl-1	2	25	0
281	vhl-1	2	33	0
282	vhl-1	2	33	0
283	vhl-1	2	36	0
284	vhl-1	2	36	0
285	vhl-1	2	39	0
286	vhl-1	2	39	0
287	vhl-1	2	39	0
288	vhl-1	2	41	0
289	vhl-1	2	41	0
290	vhl-1	2	41	0
291	vhl-1	2	41	0
292	vhl-1	2	43	0
293	vhl-1	2	43	0
294	vhl-1	2	43	0
295	vhl-1	2	43	0
296	vhl-1	2	43	0
297	vhl-1	2	43	0
298	vhl-1	2	46	0
299	vhl-1	2	46	0
300	vhl-1	2	46	0
301	vhl-1	2	46	0
302	vhl-1	2	46	0
303	vhl-1	2	46	0
304	vhl-1	2	46	0
305	vhl-1	2	46	0
306	vhl-1	2	49	0
307	vhl-1	2	49	0
308	vhl-1	2	49	0
309	vhl-1	2	49	0
310	vhl-1	2	49	0
311	vhl-1	2	49	0
312	vhl-1	2	49	0
313	vhl-1	2	53	0
314	vhl-1	2	53	0
315	vhl-1	2	53	0
316	vhl-1	2	53	0
317	vhl-1	2	57	0
318	vhl-1	2	57	0
319	vhl-1	2	57	0
320	vhl-1	2	57	0
321	vhl-1	2	60	0
322	vhl-1	2	33	2
323	vhl-1	2	41	2
324	vhl-1	2	41	2
325	vhl-1	2	49	2
326	vhl-1	3	28	0
327	vhl-1	3	31	0
328	vhl-1	3	33	0
329	vhl-1	3	36	0
330	vhl-1	3	39	0
331	vhl-1	3	39	0
332	vhl-1	3	39	0
333	vhl-1	3	39	0
334	vhl-1	3	39	0
335	vhl-1	3	39	0
336	vhl-1	3	39	0
337	vhl-1	3	41	0
338	vhl-1	3	41	0
339	vhl-1	3	43	0
340	vhl-1	3	43	0
341	vhl-1	3	43	0
342	vhl-1	3	43	0
343	vhl-1	3	43	0
344	vhl-1	3	43	0
345	vhl-1	3	46	0
346	vhl-1	3	46	0
347	vhl-1	3	46	0
348	vhl-1	3	46	0
349	vhl-1	3	46	0
350	vhl-1	3	49	0
351	vhl-1	3	49	0
352	vhl-1	3	49	0
353	vhl-1	3	53	0
354	vhl-1	3	53	0
355	vhl-1	3	53	0
356	vhl-1	3	53	0
357	vhl-1	3	53	0
358	vhl-1	3	53	0
359	vhl-1	3	57	0
360	vhl-1	3	57	0
361	vhl-1	3	57	0
362	vhl-1	3	57	0
363	vhl-1	3	57	0
364	vhl-1	3	57	0
365	vhl-1	3	60	0
366	vhl-1	3	25	2
367	vhl-1	3	31	2
368	vhl-1	3	31	2
369	vhl-1	3	36	2
370	vhl-1	3	36	2
371	vhl-1	3	36	2
372	vhl-1	3	36	2
373	vhl-1	3	36	2
374	vhl-1	3	39	2
375	vhl-1	3	39	2
376	vhl-1	3	39	2
377	vhl-1	3	39	2
378	vhl-1	3	39	2
379	vhl-1	3	39	2
380	vhl-1	3	39	2
381	vhl-1	3	41	2
382	vhl-1	3	41	2
383	vhl-1	3	41	2
384	vhl-1	3	31	3
385	vhl-1	3	33	3
386	egl-9	1	20	0
387	egl-9	1	31	0
388	egl-9	1	33	0
389	egl-9	1	33	0
390	egl-9	1	33	0
391	egl-9	1	33	0
392	egl-9	1	36	0
393	egl-9	1	36	0
394	egl-9	1	36	0
395	egl-9	1	36	0
396	egl-9	1	36	0
397	egl-9	1	36	0
398	egl-9	1	36	0
399	egl-9	1	36	0
400	egl-9	1	39	0
401	egl-9	1	39	0
402	egl-9	1	39	0
403	egl-9	1	39	0
404	egl-9	1	41	0
405	egl-9	1	25	2
406	egl-9	1	28	2
407	egl-9	1	28	2
408	egl-9	1	28	2
409	egl-9	1	28	2
410	egl-9	1	28	2
411	egl-9	1	28	2
412	egl-9	1	28	2
413	egl-9	1	28	2
414	egl-9	1	31	2
415	egl-9	1	31	2
416	egl-9	1	31	2
417	egl-9	1	31	2
418	egl-9	1	31	2
419	egl-9	1	31	2
420	egl-9	1	31	2
421	egl-9	1	31	2
422	egl-9	1	31	2
423	egl-9	1	31	2
424	egl-9	1	33	2
425	egl-9	1	33	2
426	egl-9	1	33	2
427	egl-9	1	33	2
428	egl-9	1	33	2
429	egl-9	1	33	2
430	egl-9	1	33	2
431	egl-9	1	33	2
432	egl-9	1	33	2
433	egl-9	1	20	3
434	egl-9	1	25	3
435	egl-9	1	25	3
436	egl-9	1	25	3
437	egl-9	1	25	3
438	egl-9	1	28	3
439	egl-9	1	28	3
440	egl-9	1	28	3
441	egl-9	1	28	3
442	egl-9	1	31	3
443	egl-9	1	31	3
444	egl-9	1	31	3
